start;end;baseprice;unit
01.11.2021 00:00:00;01.11.2021 01:00:00;6.59;Cent/kWh
01.11.2021 01:00:00;01.11.2021 02:00:00;5.51;Cent/kWh
01.11.2021 02:00:00;01.11.2021 03:00:00;4.39;Cent/kWh
01.11.2021 03:00:00;01.11.2021 04:00:00;3.90;Cent/kWh
01.11.2021 04:00:00;01.11.2021 05:00:00;3.90;Cent/kWh
01.11.2021 05:00:00;01.11.2021 06:00:00;4.61;Cent/kWh
01.11.2021 06:00:00;01.11.2021 07:00:00;5.83;Cent/kWh
01.11.2021 07:00:00;01.11.2021 08:00:00;11.00;Cent/kWh
01.11.2021 08:00:00;01.11.2021 09:00:00;11.00;Cent/kWh
01.11.2021 09:00:00;01.11.2021 10:00:00;10.01;Cent/kWh
01.11.2021 10:00:00;01.11.2021 11:00:00;9.83;Cent/kWh
01.11.2021 11:00:00;01.11.2021 12:00:00;11.00;Cent/kWh
01.11.2021 12:00:00;01.11.2021 13:00:00;11.01;Cent/kWh
01.11.2021 13:00:00;01.11.2021 14:00:00;11.20;Cent/kWh
01.11.2021 14:00:00;01.11.2021 15:00:00;12.50;Cent/kWh
01.11.2021 15:00:00;01.11.2021 16:00:00;16.04;Cent/kWh
01.11.2021 16:00:00;01.11.2021 17:00:00;16.41;Cent/kWh
01.11.2021 17:00:00;01.11.2021 18:00:00;16.61;Cent/kWh
01.11.2021 18:00:00;01.11.2021 19:00:00;18.30;Cent/kWh
01.11.2021 19:00:00;01.11.2021 20:00:00;17.99;Cent/kWh
01.11.2021 20:00:00;01.11.2021 21:00:00;16.31;Cent/kWh
01.11.2021 21:00:00;01.11.2021 22:00:00;15.15;Cent/kWh
01.11.2021 22:00:00;01.11.2021 23:00:00;14.74;Cent/kWh
01.11.2021 23:00:00;02.11.2021 00:00:00;13.49;Cent/kWh
02.11.2021 00:00:00;02.11.2021 01:00:00;14.50;Cent/kWh
02.11.2021 01:00:00;02.11.2021 02:00:00;13.20;Cent/kWh
02.11.2021 02:00:00;02.11.2021 03:00:00;12.89;Cent/kWh
02.11.2021 03:00:00;02.11.2021 04:00:00;11.12;Cent/kWh
02.11.2021 04:00:00;02.11.2021 05:00:00;12.35;Cent/kWh
02.11.2021 05:00:00;02.11.2021 06:00:00;14.30;Cent/kWh
02.11.2021 06:00:00;02.11.2021 07:00:00;18.22;Cent/kWh
02.11.2021 07:00:00;02.11.2021 08:00:00;21.68;Cent/kWh
02.11.2021 08:00:00;02.11.2021 09:00:00;23.50;Cent/kWh
02.11.2021 09:00:00;02.11.2021 10:00:00;22.80;Cent/kWh
02.11.2021 10:00:00;02.11.2021 11:00:00;22.17;Cent/kWh
02.11.2021 11:00:00;02.11.2021 12:00:00;22.32;Cent/kWh
02.11.2021 12:00:00;02.11.2021 13:00:00;21.60;Cent/kWh
02.11.2021 13:00:00;02.11.2021 14:00:00;21.74;Cent/kWh
02.11.2021 14:00:00;02.11.2021 15:00:00;22.49;Cent/kWh
02.11.2021 15:00:00;02.11.2021 16:00:00;23.03;Cent/kWh
02.11.2021 16:00:00;02.11.2021 17:00:00;24.83;Cent/kWh
02.11.2021 17:00:00;02.11.2021 18:00:00;29.90;Cent/kWh
02.11.2021 18:00:00;02.11.2021 19:00:00;31.27;Cent/kWh
02.11.2021 19:00:00;02.11.2021 20:00:00;28.00;Cent/kWh
02.11.2021 20:00:00;02.11.2021 21:00:00;23.10;Cent/kWh
02.11.2021 21:00:00;02.11.2021 22:00:00;20.10;Cent/kWh
02.11.2021 22:00:00;02.11.2021 23:00:00;18.00;Cent/kWh
02.11.2021 23:00:00;03.11.2021 00:00:00;16.70;Cent/kWh
03.11.2021 00:00:00;03.11.2021 01:00:00;14.67;Cent/kWh
03.11.2021 01:00:00;03.11.2021 02:00:00;14.31;Cent/kWh
03.11.2021 02:00:00;03.11.2021 03:00:00;14.03;Cent/kWh
03.11.2021 03:00:00;03.11.2021 04:00:00;13.08;Cent/kWh
03.11.2021 04:00:00;03.11.2021 05:00:00;13.00;Cent/kWh
03.11.2021 05:00:00;03.11.2021 06:00:00;13.87;Cent/kWh
03.11.2021 06:00:00;03.11.2021 07:00:00;17.00;Cent/kWh
03.11.2021 07:00:00;03.11.2021 08:00:00;20.44;Cent/kWh
03.11.2021 08:00:00;03.11.2021 09:00:00;23.01;Cent/kWh
03.11.2021 09:00:00;03.11.2021 10:00:00;21.91;Cent/kWh
03.11.2021 10:00:00;03.11.2021 11:00:00;20.76;Cent/kWh
03.11.2021 11:00:00;03.11.2021 12:00:00;21.33;Cent/kWh
03.11.2021 12:00:00;03.11.2021 13:00:00;20.62;Cent/kWh
03.11.2021 13:00:00;03.11.2021 14:00:00;21.11;Cent/kWh
03.11.2021 14:00:00;03.11.2021 15:00:00;21.59;Cent/kWh
03.11.2021 15:00:00;03.11.2021 16:00:00;22.73;Cent/kWh
03.11.2021 16:00:00;03.11.2021 17:00:00;22.70;Cent/kWh
03.11.2021 17:00:00;03.11.2021 18:00:00;25.69;Cent/kWh
03.11.2021 18:00:00;03.11.2021 19:00:00;27.43;Cent/kWh
03.11.2021 19:00:00;03.11.2021 20:00:00;23.60;Cent/kWh
03.11.2021 20:00:00;03.11.2021 21:00:00;20.30;Cent/kWh
03.11.2021 21:00:00;03.11.2021 22:00:00;18.36;Cent/kWh
03.11.2021 22:00:00;03.11.2021 23:00:00;16.59;Cent/kWh
03.11.2021 23:00:00;04.11.2021 00:00:00;14.51;Cent/kWh
04.11.2021 00:00:00;04.11.2021 01:00:00;16.54;Cent/kWh
04.11.2021 01:00:00;04.11.2021 02:00:00;15.25;Cent/kWh
04.11.2021 02:00:00;04.11.2021 03:00:00;14.59;Cent/kWh
04.11.2021 03:00:00;04.11.2021 04:00:00;14.31;Cent/kWh
04.11.2021 04:00:00;04.11.2021 05:00:00;14.54;Cent/kWh
04.11.2021 05:00:00;04.11.2021 06:00:00;15.96;Cent/kWh
04.11.2021 06:00:00;04.11.2021 07:00:00;18.38;Cent/kWh
04.11.2021 07:00:00;04.11.2021 08:00:00;21.08;Cent/kWh
04.11.2021 08:00:00;04.11.2021 09:00:00;21.38;Cent/kWh
04.11.2021 09:00:00;04.11.2021 10:00:00;20.33;Cent/kWh
04.11.2021 10:00:00;04.11.2021 11:00:00;20.10;Cent/kWh
04.11.2021 11:00:00;04.11.2021 12:00:00;19.90;Cent/kWh
04.11.2021 12:00:00;04.11.2021 13:00:00;19.37;Cent/kWh
04.11.2021 13:00:00;04.11.2021 14:00:00;17.97;Cent/kWh
04.11.2021 14:00:00;04.11.2021 15:00:00;16.56;Cent/kWh
